GEOID,"# Children for whom poverty status is determined, 2024","% Children in families below 200 percent of the poverty line, 2024"
13067030104,634,39.0
13067030107,893,15.3
13067030108,1700,9.1
13067030109,1562,59.5
13067030110,943,53.6
13067030111,1205,36.1
13067030112,445,23.8
13067030113,1021,21.5
13067030220,247,22.7
13067030233,1240,2.9
13067030235,1263,16.0
13067030236,1433,3.0
13067030240,866,9.0
13067030241,797,36.6
13067030242,1455,21.0
13067030243,1168,33.4
13067030244,1309,6.0
13067030245,1172,9.7
13067030246,395,67.1
13067030247,522,0.0
13067030248,857,27.7
13067030249,850,22.1
13067030250,1378,3.3
13067030251,758,0.0
13067030252,1052,7.9
13067030253,1428,30.1
13067030254,451,55.9
13067030255,955,23.2
13067030256,896,7.6
13067030257,573,28.8
13067030258,526,16.3
13067030259,912,15.6
13067030260,674,24.9
13067030261,1002,16.5
13067030262,1147,1.5
13067030263,467,15.4
13067030264,820,0.9
13067030265,1058,0.9
13067030266,587,0.0
13067030267,1103,1.4
13067030268,876,7.1
13067030269,747,41.2
13067030270,785,39.9
13067030271,755,45.3
13067030272,494,11.7
13067030273,697,2.2
13067030274,964,17.1
13067030275,457,0.0
13067030276,783,8.7
13067030277,763,2.5
13067030278,347,15.9
13067030319,1065,5.9
13067030322,1266,6.6
13067030324,1275,3.4
13067030326,1215,9.0
13067030327,1148,7.2
13067030329,844,4.4
13067030331,1539,18.1
13067030332,778,8.6
13067030334,985,14.0
13067030335,1446,11.7
13067030337,1592,1.4
13067030340,1043,1.4
13067030341,1340,13.0
13067030342,1410,3.2
13067030343,1479,1.4
13067030344,469,49.0
13067030345,984,60.2
13067030346,1878,29.1
13067030347,968,15.1
13067030348,974,16.5
13067030349,748,17.6
13067030350,513,3.1
13067030351,1509,9.9
13067030352,1342,5.3
13067030353,359,0.0
13067030354,1300,7.2
13067030355,41,61.0
13067030356,98,0.0
13067030357,381,0.0
13067030358,708,0.6
13067030359,958,0.0
13067030360,417,1.0
13067030361,792,6.7
13067030362,503,25.6
13067030363,683,5.9
13067030364,715,6.0
13067030365,705,9.5
13067030366,972,20.1
13067030367,756,2.4
13067030368,747,6.6
13067030369,924,0.0
13067030370,979,1.9
13067030405,1536,40.0
13067030407,901,43.2
13067030408,677,28.7
13067030409,641,2.2
13067030410,772,10.0
13067030411,565,74.5
13067030412,843,74.9
13067030413,1514,31.1
13067030414,603,42.5
13067030505,1052,64.7
13067030506,1018,35.6
13067030507,1487,12.3
13067030508,628,28.0
13067030509,701,16.0
13067030510,341,22.3
13067030511,830,67.7
13067030602,2036,1.5
13067030603,1230,26.3
13067030604,532,44.7
13067030700,1001,56.9
13067030800,700,69.4
13067030906,1004,21.5
13067030907,640,33.3
13067030908,1444,49.8
13067030909,594,35.4
13067030910,921,18.8
13067030911,601,70.5
13067030912,2102,79.4
13067031001,1267,79.1
13067031004,3107,81.9
13067031005,1347,45.7
13067031006,1009,63.9
13067031007,1287,66.5
13067031101,1638,70.1
13067031110,589,18.0
13067031111,264,12.1
13067031112,1979,30.5
13067031113,284,38.0
13067031114,791,61.7
13067031115,934,48.5
13067031116,795,52.3
13067031117,1498,11.5
13067031118,1300,13.8
13067031119,1299,62.0
13067031120,800,38.1
13067031121,308,23.1
13067031122,471,8.9
13067031207,334,49.1
13067031209,878,2.1
13067031212,638,0.0
13067031213,655,52.1
13067031214,484,26.4
13067031215,780,0.0
13067031216,586,23.4
13067031217,855,13.6
13067031218,138,37.0
13067031219,376,12.5
13067031220,421,26.1
13067031221,769,0.0
13067031306,708,44.8
13067031308,1418,63.1
13067031314,930,2.5
13067031315,1159,2.1
13067031316,1758,50.2
13067031317,906,53.3
13067031318,1875,57.3
13067031319,1087,48.9
13067031320,1479,69.8
13067031321,599,60.4
13067031322,869,40.5
13067031323,843,25.7
13067031324,654,45.6
13067031325,451,25.5
13067031409,1259,36.9
13067031410,1438,7.6
13067031411,922,69.4
13067031412,788,46.3
13067031413,733,12.8
13067031414,562,34.7
13067031415,598,27.3
13067031416,802,49.6
13067031417,943,78.5
13067031506,1898,47.0
13067031507,566,24.7
13067031510,806,10.4
13067031511,1043,18.6
13067031512,1000,36.7
13067031513,1350,23.0
13067031514,696,22.8
13067031515,660,15.3
13067031516,718,23.7
13067031517,680,28.2
13067031518,715,35.7
