GEOID,"% Population 25 years and over, bachelor's degree, 2024"
13067030104,13.7
13067030107,25.7
13067030108,34.0
13067030109,34.1
13067030110,29.3
13067030111,32.5
13067030112,24.4
13067030113,17.2
13067030220,33.4
13067030233,39.6
13067030235,35.1
13067030236,41.0
13067030240,31.5
13067030241,34.8
13067030242,35.3
13067030243,30.4
13067030244,42.1
13067030245,37.6
13067030246,14.8
13067030247,15.3
13067030248,30.2
13067030249,38.5
13067030250,39.1
13067030251,43.8
13067030252,33.9
13067030253,47.1
13067030254,29.1
13067030255,29.6
13067030256,46.6
13067030257,35.3
13067030258,39.1
13067030259,27.5
13067030260,13.2
13067030261,31.9
13067030262,32.0
13067030263,26.8
13067030264,30.2
13067030265,44.9
13067030266,47.5
13067030267,31.7
13067030268,36.1
13067030269,21.6
13067030270,39.9
13067030271,24.4
13067030272,32.0
13067030273,37.8
13067030274,22.7
13067030275,28.1
13067030276,34.4
13067030277,36.5
13067030278,31.6
13067030319,39.9
13067030322,47.1
13067030324,29.7
13067030326,44.2
13067030327,39.2
13067030329,39.1
13067030331,41.0
13067030332,44.8
13067030334,42.4
13067030335,50.9
13067030337,45.9
13067030340,36.5
13067030341,45.4
13067030342,41.3
13067030343,44.4
13067030344,42.3
13067030345,49.8
13067030346,19.6
13067030347,32.5
13067030348,32.0
13067030349,28.3
13067030350,31.9
13067030351,46.2
13067030352,27.5
13067030353,51.0
13067030354,43.8
13067030355,53.5
13067030356,39.8
13067030357,39.4
13067030358,35.0
13067030359,44.1
13067030360,39.3
13067030361,33.8
13067030362,26.9
13067030363,21.8
13067030364,42.7
13067030365,48.8
13067030366,48.4
13067030367,41.5
13067030368,32.3
13067030369,48.0
13067030370,50.7
13067030405,29.3
13067030407,41.7
13067030408,42.2
13067030409,37.3
13067030410,44.0
13067030411,28.3
13067030412,27.6
13067030413,26.7
13067030414,17.4
13067030505,29.3
13067030506,27.1
13067030507,31.0
13067030508,19.2
13067030509,39.0
13067030510,37.5
13067030511,27.8
13067030602,31.6
13067030603,27.2
13067030604,10.2
13067030700,33.3
13067030800,29.7
13067030906,40.1
13067030907,38.5
13067030908,18.9
13067030909,12.6
13067030910,26.1
13067030911,20.8
13067030912,21.5
13067031001,13.1
13067031004,11.5
13067031005,20.3
13067031006,7.3
13067031007,9.5
13067031101,23.5
13067031110,27.1
13067031111,36.9
13067031112,32.3
13067031113,33.4
13067031114,46.0
13067031115,29.3
13067031116,25.2
13067031117,35.0
13067031118,34.1
13067031119,20.9
13067031120,38.7
13067031121,33.3
13067031122,39.0
13067031207,39.9
13067031209,48.2
13067031212,46.0
13067031213,31.1
13067031214,35.7
13067031215,32.3
13067031216,40.1
13067031217,35.9
13067031218,41.3
13067031219,49.3
13067031220,35.9
13067031221,30.2
13067031306,17.7
13067031308,18.9
13067031314,43.2
13067031315,36.1
13067031316,23.1
13067031317,16.4
13067031318,14.8
13067031319,13.1
13067031320,26.3
13067031321,11.6
13067031322,26.1
13067031323,23.7
13067031324,29.2
13067031325,32.0
13067031409,17.9
13067031410,13.0
13067031411,23.6
13067031412,19.4
13067031413,25.4
13067031414,25.8
13067031415,21.6
13067031416,23.6
13067031417,4.4
13067031506,21.8
13067031507,20.2
13067031510,20.1
13067031511,25.2
13067031512,19.8
13067031513,22.0
13067031514,24.6
13067031515,31.9
13067031516,42.5
13067031517,25.6
13067031518,26.1
