GEOID,"Median value of owner-occupied unit (dollars), 2024"
13067030104,330400.0
13067030107,360600.0
13067030108,530000.0
13067030109,382600.0
13067030110,365300.0
13067030111,373100.0
13067030112,290500.0
13067030113,314000.0
13067030220,363800.0
13067030233,411500.0
13067030235,490200.0
13067030236,570300.0
13067030240,343600.0
13067030241,460300.0
13067030242,372400.0
13067030243,313400.0
13067030244,470300.0
13067030245,472500.0
13067030246,228800.0
13067030247,369000.0
13067030248,306500.0
13067030249,489300.0
13067030250,515200.0
13067030251,429300.0
13067030252,532300.0
13067030253,654900.0
13067030254,289800.0
13067030255,333300.0
13067030256,632700.0
13067030257,323200.0
13067030258,272000.0
13067030259,357200.0
13067030260,295400.0
13067030261,398700.0
13067030262,497300.0
13067030263,475300.0
13067030264,610800.0
13067030265,559900.0
13067030266,512900.0
13067030267,559500.0
13067030268,474400.0
13067030269,407500.0
13067030270,422100.0
13067030271,446500.0
13067030272,325800.0
13067030273,429900.0
13067030274,326300.0
13067030275,272800.0
13067030276,547500.0
13067030277,486300.0
13067030278,385800.0
13067030319,545200.0
13067030322,445800.0
13067030324,353100.0
13067030326,639600.0
13067030327,470300.0
13067030329,432000.0
13067030331,624700.0
13067030332,588800.0
13067030334,621000.0
13067030335,602200.0
13067030337,670600.0
13067030340,487700.0
13067030341,438700.0
13067030342,578800.0
13067030343,639600.0
13067030344,204200.0
13067030345,497400.0
13067030346,264600.0
13067030347,345300.0
13067030348,372600.0
13067030349,345600.0
13067030350,427800.0
13067030351,682000.0
13067030352,948600.0
13067030353,387100.0
13067030354,639500.0
13067030355,
13067030356,421400.0
13067030357,460400.0
13067030358,522100.0
13067030359,588700.0
13067030360,607900.0
13067030361,360200.0
13067030362,408800.0
13067030363,364900.0
13067030364,459600.0
13067030365,624700.0
13067030366,597300.0
13067030367,676100.0
13067030368,465400.0
13067030369,708100.0
13067030370,710600.0
13067030405,277200.0
13067030407,397600.0
13067030408,468600.0
13067030409,554600.0
13067030410,427700.0
13067030411,237300.0
13067030412,167300.0
13067030413,213400.0
13067030414,
13067030505,294400.0
13067030506,333500.0
13067030507,382000.0
13067030508,367200.0
13067030509,457300.0
13067030510,360100.0
13067030511,361100.0
13067030602,615800.0
13067030603,429400.0
13067030604,343600.0
13067030700,415700.0
13067030800,456900.0
13067030906,493700.0
13067030907,423900.0
13067030908,283600.0
13067030909,241600.0
13067030910,240600.0
13067030911,337700.0
13067030912,421800.0
13067031001,191000.0
13067031004,224300.0
13067031005,299600.0
13067031006,205600.0
13067031007,394300.0
13067031101,411700.0
13067031110,420400.0
13067031111,319600.0
13067031112,542800.0
13067031113,392800.0
13067031114,368700.0
13067031115,334000.0
13067031116,322100.0
13067031117,446000.0
13067031118,554100.0
13067031119,317400.0
13067031120,375100.0
13067031121,271400.0
13067031122,374500.0
13067031207,521200.0
13067031209,626100.0
13067031212,1074400.0
13067031213,379900.0
13067031214,430000.0
13067031215,515800.0
13067031216,638900.0
13067031217,433100.0
13067031218,522500.0
13067031219,459900.0
13067031220,434100.0
13067031221,503500.0
13067031306,332800.0
13067031308,272800.0
13067031314,423900.0
13067031315,600900.0
13067031316,390500.0
13067031317,256000.0
13067031318,243500.0
13067031319,223700.0
13067031320,278600.0
13067031321,
13067031322,218400.0
13067031323,261500.0
13067031324,353700.0
13067031325,420200.0
13067031409,274200.0
13067031410,351800.0
13067031411,282000.0
13067031412,144500.0
13067031413,330000.0
13067031414,344800.0
13067031415,341000.0
13067031416,273200.0
13067031417,212900.0
13067031506,356800.0
13067031507,283600.0
13067031510,307700.0
13067031511,351300.0
13067031512,296600.0
13067031513,307800.0
13067031514,322200.0
13067031515,414200.0
13067031516,415400.0
13067031517,398400.0
13067031518,329600.0
