GEOID,"% Occupied housing units, no vehicles available, 2024"
13067030104,15.1
13067030107,1.3
13067030108,0.0
13067030109,1.3
13067030110,7.9
13067030111,2.2
13067030112,2.0
13067030113,0.7
13067030220,0.0
13067030233,0.4
13067030235,0.7
13067030236,0.0
13067030240,3.3
13067030241,4.0
13067030242,1.0
13067030243,2.2
13067030244,2.7
13067030245,0.0
13067030246,0.0
13067030247,8.6
13067030248,5.5
13067030249,13.9
13067030250,3.2
13067030251,0.9
13067030252,0.3
13067030253,0.7
13067030254,8.9
13067030255,3.0
13067030256,0.6
13067030257,16.0
13067030258,7.9
13067030259,2.1
13067030260,6.0
13067030261,2.4
13067030262,6.2
13067030263,2.9
13067030264,0.8
13067030265,0.0
13067030266,1.0
13067030267,0.7
13067030268,0.0
13067030269,3.4
13067030270,0.0
13067030271,0.0
13067030272,0.9
13067030273,1.1
13067030274,3.5
13067030275,8.4
13067030276,10.1
13067030277,0.0
13067030278,0.3
13067030319,3.3
13067030322,0.6
13067030324,2.1
13067030326,3.9
13067030327,0.0
13067030329,0.0
13067030331,1.4
13067030332,1.8
13067030334,0.0
13067030335,1.2
13067030337,0.4
13067030340,0.7
13067030341,2.1
13067030342,0.6
13067030343,0.4
13067030344,7.8
13067030345,3.2
13067030346,0.0
13067030347,0.8
13067030348,3.2
13067030349,1.0
13067030350,0.0
13067030351,0.0
13067030352,10.5
13067030353,0.8
13067030354,4.8
13067030355,3.6
13067030356,5.3
13067030357,0.4
13067030358,0.0
13067030359,3.6
13067030360,0.0
13067030361,0.0
13067030362,2.1
13067030363,3.1
13067030364,1.7
13067030365,1.1
13067030366,2.6
13067030367,7.3
13067030368,1.0
13067030369,0.0
13067030370,0.0
13067030405,8.1
13067030407,2.0
13067030408,4.1
13067030409,0.0
13067030410,5.9
13067030411,19.2
13067030412,17.4
13067030413,3.8
13067030414,4.8
13067030505,1.2
13067030506,1.2
13067030507,0.2
13067030508,3.4
13067030509,0.0
13067030510,0.8
13067030511,2.5
13067030602,8.5
13067030603,1.7
13067030604,5.1
13067030700,20.5
13067030800,12.0
13067030906,9.5
13067030907,0.0
13067030908,1.3
13067030909,4.7
13067030910,6.8
13067030911,5.0
13067030912,10.5
13067031001,12.5
13067031004,20.5
13067031005,2.5
13067031006,22.3
13067031007,13.8
13067031101,10.6
13067031110,3.2
13067031111,3.7
13067031112,2.5
13067031113,9.6
13067031114,3.3
13067031115,3.1
13067031116,2.8
13067031117,0.0
13067031118,3.8
13067031119,0.7
13067031120,1.5
13067031121,3.0
13067031122,0.9
13067031207,1.6
13067031209,0.3
13067031212,0.0
13067031213,2.0
13067031214,2.6
13067031215,2.0
13067031216,0.0
13067031217,2.9
13067031218,0.0
13067031219,6.7
13067031220,8.5
13067031221,8.1
13067031306,4.3
13067031308,4.0
13067031314,0.9
13067031315,1.4
13067031316,0.0
13067031317,4.7
13067031318,5.0
13067031319,2.7
13067031320,11.7
13067031321,14.5
13067031322,6.8
13067031323,3.0
13067031324,4.4
13067031325,0.0
13067031409,2.7
13067031410,4.1
13067031411,0.4
13067031412,9.0
13067031413,4.1
13067031414,2.7
13067031415,6.6
13067031416,0.0
13067031417,4.1
13067031506,1.5
13067031507,3.1
13067031510,3.7
13067031511,1.7
13067031512,0.8
13067031513,0.0
13067031514,0.6
13067031515,2.4
13067031516,2.2
13067031517,4.7
13067031518,1.6
