GEOID,"% Gross rent 30.0 percent of income or greater, 2024"
13067030104,54.0
13067030107,61.9
13067030108,62.4
13067030109,74.3
13067030110,52.9
13067030111,50.0
13067030112,45.4
13067030113,36.2
13067030220,30.4
13067030233,0.0
13067030235,57.5
13067030236,25.0
13067030240,41.9
13067030241,85.2
13067030242,63.8
13067030243,34.1
13067030244,0.0
13067030245,11.6
13067030246,95.9
13067030247,58.1
13067030248,57.5
13067030249,40.6
13067030250,58.8
13067030251,20.4
13067030252,57.8
13067030253,
13067030254,58.6
13067030255,47.7
13067030256,48.8
13067030257,63.7
13067030258,56.8
13067030259,50.5
13067030260,31.2
13067030261,43.6
13067030262,35.8
13067030263,63.8
13067030264,23.3
13067030265,32.4
13067030266,0.0
13067030267,23.1
13067030268,100.0
13067030269,87.2
13067030270,55.2
13067030271,77.4
13067030272,56.9
13067030273,27.1
13067030274,27.5
13067030275,84.1
13067030276,100.0
13067030277,0.0
13067030278,42.4
13067030319,37.2
13067030322,43.2
13067030324,48.2
13067030326,78.9
13067030327,26.3
13067030329,41.8
13067030331,51.2
13067030332,72.1
13067030334,8.2
13067030335,78.0
13067030337,90.4
13067030340,22.6
13067030341,26.1
13067030342,10.0
13067030343,0.0
13067030344,45.3
13067030345,39.9
13067030346,57.0
13067030347,20.1
13067030348,53.1
13067030349,53.4
13067030350,67.2
13067030351,91.1
13067030352,95.8
13067030353,60.0
13067030354,39.5
13067030355,40.2
13067030356,26.3
13067030357,11.5
13067030358,42.5
13067030359,74.0
13067030360,0.0
13067030361,22.6
13067030362,15.7
13067030363,31.5
13067030364,22.4
13067030365,11.0
13067030366,58.3
13067030367,9.5
13067030368,31.7
13067030369,0.0
13067030370,47.6
13067030405,54.1
13067030407,46.0
13067030408,29.7
13067030409,61.9
13067030410,65.3
13067030411,69.7
13067030412,65.8
13067030413,56.4
13067030414,63.8
13067030505,47.4
13067030506,44.2
13067030507,31.8
13067030508,14.5
13067030509,56.8
13067030510,31.2
13067030511,49.2
13067030602,58.9
13067030603,69.3
13067030604,56.7
13067030700,56.8
13067030800,56.1
13067030906,67.3
13067030907,64.1
13067030908,25.5
13067030909,61.3
13067030910,51.2
13067030911,51.1
13067030912,61.8
13067031001,52.9
13067031004,55.8
13067031005,64.3
13067031006,46.7
13067031007,70.5
13067031101,68.6
13067031110,23.5
13067031111,46.1
13067031112,64.4
13067031113,49.5
13067031114,43.8
13067031115,44.3
13067031116,52.6
13067031117,36.1
13067031118,53.0
13067031119,44.5
13067031120,96.4
13067031121,62.3
13067031122,42.6
13067031207,33.1
13067031209,57.0
13067031212,39.3
13067031213,66.3
13067031214,18.6
13067031215,34.3
13067031216,26.4
13067031217,43.8
13067031218,44.4
13067031219,48.3
13067031220,51.8
13067031221,33.1
13067031306,34.6
13067031308,61.6
13067031314,41.3
13067031315,75.5
13067031316,21.4
13067031317,62.4
13067031318,74.6
13067031319,64.1
13067031320,38.3
13067031321,49.2
13067031322,35.7
13067031323,55.8
13067031324,52.4
13067031325,89.3
13067031409,52.4
13067031410,6.4
13067031411,48.4
13067031412,60.8
13067031413,76.0
13067031414,90.4
13067031415,42.3
13067031416,39.5
13067031417,67.1
13067031506,76.6
13067031507,39.1
13067031510,0.0
13067031511,28.1
13067031512,35.4
13067031513,48.0
13067031514,53.3
13067031515,21.3
13067031516,80.0
13067031517,42.3
13067031518,52.9
