GEOID,"% Renter-occupied housing units, 2024"
13067030104,48.2
13067030107,17.8
13067030108,11.7
13067030109,32.4
13067030110,29.0
13067030111,21.8
13067030112,65.4
13067030113,15.1
13067030220,10.9
13067030233,1.8
13067030235,4.9
13067030236,1.4
13067030240,21.8
13067030241,8.1
13067030242,9.1
13067030243,16.9
13067030244,2.2
13067030245,18.5
13067030246,43.3
13067030247,74.6
13067030248,72.6
13067030249,54.7
13067030250,1.9
13067030251,4.6
13067030252,6.5
13067030253,9.4
13067030254,13.0
13067030255,40.5
13067030256,2.3
13067030257,53.5
13067030258,52.1
13067030259,36.0
13067030260,45.7
13067030261,13.3
13067030262,12.1
13067030263,23.2
13067030264,3.0
13067030265,3.6
13067030266,0.9
13067030267,1.2
13067030268,0.6
13067030269,6.1
13067030270,5.8
13067030271,9.8
13067030272,13.4
13067030273,5.7
13067030274,21.5
13067030275,44.2
13067030276,9.8
13067030277,2.1
13067030278,49.5
13067030319,10.5
13067030322,2.8
13067030324,6.2
13067030326,5.0
13067030327,19.7
13067030329,16.9
13067030331,2.9
13067030332,4.0
13067030334,9.9
13067030335,3.8
13067030337,4.0
13067030340,4.6
13067030341,9.8
13067030342,5.0
13067030343,1.3
13067030344,86.7
13067030345,84.9
13067030346,14.9
13067030347,19.2
13067030348,14.7
13067030349,13.0
13067030350,22.8
13067030351,4.1
13067030352,12.0
13067030353,44.2
13067030354,21.1
13067030355,99.3
13067030356,80.7
13067030357,6.4
13067030358,3.2
13067030359,7.6
13067030360,3.2
13067030361,14.8
13067030362,8.5
13067030363,9.6
13067030364,11.8
13067030365,9.0
13067030366,4.4
13067030367,7.6
13067030368,10.5
13067030369,0.7
13067030370,2.3
13067030405,51.7
13067030407,26.9
13067030408,43.3
13067030409,3.4
13067030410,52.1
13067030411,87.2
13067030412,80.6
13067030413,83.1
13067030414,100.0
13067030505,82.3
13067030506,49.0
13067030507,9.5
13067030508,30.1
13067030509,2.5
13067030510,25.8
13067030511,29.7
13067030602,30.3
13067030603,66.0
13067030604,60.4
13067030700,42.5
13067030800,44.8
13067030906,34.3
13067030907,26.8
13067030908,26.8
13067030909,19.2
13067030910,38.4
13067030911,50.0
13067030912,57.2
13067031001,60.4
13067031004,64.3
13067031005,26.9
13067031006,66.1
13067031007,80.9
13067031101,60.7
13067031110,32.5
13067031111,32.9
13067031112,29.7
13067031113,78.0
13067031114,76.9
13067031115,20.7
13067031116,43.9
13067031117,15.1
13067031118,24.9
13067031119,24.3
13067031120,18.7
13067031121,61.6
13067031122,32.9
13067031207,78.2
13067031209,7.7
13067031212,11.3
13067031213,31.8
13067031214,56.8
13067031215,53.2
13067031216,65.7
13067031217,63.1
13067031218,59.3
13067031219,83.1
13067031220,57.2
13067031221,24.5
13067031306,29.8
13067031308,38.4
13067031314,10.1
13067031315,8.6
13067031316,14.6
13067031317,27.8
13067031318,48.3
13067031319,51.1
13067031320,82.6
13067031321,66.9
13067031322,28.2
13067031323,27.5
13067031324,9.9
13067031325,7.4
13067031409,29.2
13067031410,16.9
13067031411,36.7
13067031412,61.9
13067031413,60.2
13067031414,16.3
13067031415,35.4
13067031416,10.7
13067031417,42.5
13067031506,18.1
13067031507,38.0
13067031510,19.8
13067031511,24.7
13067031512,16.1
13067031513,10.8
13067031514,10.7
13067031515,5.3
13067031516,15.4
13067031517,25.5
13067031518,14.6
