LocationName,Lack of reliable transportation in the past 12 months among adults,Obesity among adults
13067030104,8.6,31.4
13067030107,6.7,28.7
13067030108,5.3,27.4
13067030109,5.6,27.0
13067030110,8.5,30.4
13067030111,7.9,30.4
13067030112,8.8,31.1
13067030113,9.5,32.6
13067030220,6.3,28.3
13067030233,5.5,27.8
13067030235,6.1,29.2
13067030236,4.9,27.5
13067030240,6.3,28.3
13067030241,6.0,29.5
13067030242,6.8,28.5
13067030243,7.4,29.1
13067030244,4.2,25.6
13067030245,4.8,26.4
13067030246,12.9,31.3
13067030247,10.5,27.5
13067030248,10.6,26.0
13067030249,7.8,29.7
13067030250,4.4,26.0
13067030251,4.7,26.6
13067030252,4.8,27.1
13067030253,5.3,28.4
13067030254,10.6,34.3
13067030255,9.0,28.6
13067030256,4.4,26.3
13067030257,7.7,29.5
13067030258,7.0,27.5
13067030259,8.9,29.9
13067030260,8.5,31.4
13067030261,7.5,30.5
13067030262,4.7,26.9
13067030263,5.1,27.2
13067030264,4.9,26.7
13067030265,4.6,26.0
13067030266,4.3,26.1
13067030267,4.7,26.8
13067030268,4.7,27.4
13067030269,7.2,30.6
13067030270,6.2,29.2
13067030271,8.7,33.5
13067030272,5.8,28.0
13067030273,5.0,26.8
13067030274,7.7,29.7
13067030275,10.8,30.1
13067030276,4.5,26.4
13067030277,5.0,27.4
13067030278,8.4,29.1
13067030319,3.9,23.7
13067030322,3.7,24.9
13067030324,5.3,27.3
13067030326,3.9,24.6
13067030327,5.3,27.1
13067030329,5.0,26.6
13067030331,3.8,24.6
13067030332,3.5,23.3
13067030334,3.8,24.5
13067030335,3.5,24.3
13067030337,3.1,23.2
13067030340,4.0,25.0
13067030341,4.6,25.6
13067030342,4.0,25.6
13067030343,3.3,24.1
13067030344,9.2,30.7
13067030345,6.9,25.9
13067030346,7.1,29.6
13067030347,6.4,28.5
13067030348,6.5,27.2
13067030349,6.9,29.1
13067030350,5.7,27.5
13067030351,3.6,24.7
13067030352,4.0,24.4
13067030353,5.1,25.8
13067030354,3.7,23.5
13067030355,6.5,26.0
13067030356,5.2,23.3
13067030357,4.1,24.8
13067030358,4.3,23.2
13067030359,4.3,25.7
13067030360,3.5,24.1
13067030361,7.1,29.0
13067030362,5.7,26.7
13067030363,6.4,29.0
13067030364,4.4,26.3
13067030365,3.5,24.1
13067030366,3.6,22.8
13067030367,3.8,23.6
13067030368,5.0,26.6
13067030369,3.4,23.2
13067030370,3.3,23.3
13067030405,10.4,32.0
13067030407,5.3,26.8
13067030408,5.6,24.6
13067030409,3.9,23.9
13067030410,5.7,27.1
13067030411,12.8,33.8
13067030412,15.2,35.0
13067030413,12.6,33.9
13067030414,16.7,37.7
13067030505,11.6,33.2
13067030506,9.7,32.2
13067030507,6.3,28.7
13067030508,9.5,31.9
13067030509,4.5,25.7
13067030510,4.9,23.9
13067030511,10.4,33.1
13067030602,4.3,25.7
13067030603,7.2,26.8
13067030604,8.5,29.5
13067030700,10.5,33.6
13067030800,12.5,29.2
13067030906,7.7,30.8
13067030907,5.6,28.2
13067030908,10.4,32.8
13067030909,11.8,32.6
13067030910,12.1,35.0
13067030911,14.7,35.7
13067030912,14.3,36.1
13067031001,16.6,37.4
13067031004,17.7,38.9
13067031005,10.1,32.3
13067031006,11.9,33.3
13067031007,17.8,39.9
13067031101,12.8,35.8
13067031110,6.4,28.5
13067031111,6.7,29.6
13067031112,4.9,26.3
13067031113,12.7,34.8
13067031114,8.5,29.0
13067031115,8.4,30.8
13067031116,9.7,32.4
13067031117,5.7,28.0
13067031118,6.5,29.1
13067031119,12.3,35.6
13067031120,8.0,31.7
13067031121,8.4,30.5
13067031122,6.7,30.1
13067031207,5.6,26.0
13067031209,3.8,25.3
13067031212,2.7,23.2
13067031213,7.8,31.8
13067031214,8.5,32.5
13067031215,5.8,28.7
13067031216,5.2,24.5
13067031217,6.7,25.9
13067031218,5.9,27.4
13067031219,7.9,29.3
13067031220,8.7,31.6
13067031221,5.1,27.4
13067031306,11.5,36.2
13067031308,13.7,36.9
13067031314,6.3,31.0
13067031315,5.1,28.4
13067031316,9.1,33.1
13067031317,11.1,35.8
13067031318,17.2,40.7
13067031319,15.0,39.1
13067031320,14.8,39.8
13067031321,19.3,39.0
13067031322,10.4,34.3
13067031323,8.3,32.0
13067031324,7.7,31.8
13067031325,5.5,28.2
13067031409,12.3,37.1
13067031410,8.7,31.7
13067031411,12.7,36.7
13067031412,12.8,35.7
13067031413,11.3,34.8
13067031414,7.9,30.8
13067031415,11.9,35.4
13067031416,12.4,36.3
13067031417,13.3,36.3
13067031506,11.1,35.4
13067031507,11.4,35.3
13067031510,12.2,37.1
13067031511,8.7,33.3
13067031512,10.2,34.6
13067031513,8.9,33.6
13067031514,8.9,32.9
13067031515,6.7,30.5
13067031516,7.3,31.9
13067031517,7.1,30.5
13067031518,10.9,36.1
