GEOID,"Mean travel time to work (minutes), 2024","# Workers 16 years and over, 2024","# Car, truck, or van - carpooled to work, 2024","% Car, truck, or van - carpooled to work, 2024","# Public transportation to work, 2024","% Public transportation to work, 2024","# Walked to work, 2024","% Walked to work, 2024"
13067030104,31.8,1855,296,16.0,0,0.0,48,2.6
13067030107,30.2,2651,235,8.9,0,0.0,0,0.0
13067030108,28.4,2090,101,4.8,0,0.0,0,0.0
13067030109,36.6,2073,239,11.5,0,0.0,0,0.0
13067030110,31.0,2517,183,7.3,0,0.0,0,0.0
13067030111,29.2,2596,488,18.8,35,1.3,38,1.5
13067030112,24.3,1634,163,10.0,0,0.0,9,0.6
13067030113,35.7,1837,87,4.7,44,2.4,0,0.0
13067030220,43.7,870,28,3.2,7,0.8,10,1.1
13067030233,30.4,2436,105,4.3,0,0.0,22,0.9
13067030235,30.3,2621,177,6.8,0,0.0,0,0.0
13067030236,36.8,2327,117,5.0,0,0.0,3,0.1
13067030240,36.1,2749,224,8.1,0,0.0,0,0.0
13067030241,30.8,1212,89,7.3,0,0.0,0,0.0
13067030242,29.5,2125,333,15.7,0,0.0,0,0.0
13067030243,38.0,2996,276,9.2,0,0.0,0,0.0
13067030244,31.1,2192,138,6.3,0,0.0,0,0.0
13067030245,36.8,2077,145,7.0,0,0.0,0,0.0
13067030246,22.8,1360,264,19.4,0,0.0,0,0.0
13067030247,30.8,2130,28,1.3,0,0.0,47,2.2
13067030248,17.1,4420,86,1.9,0,0.0,203,4.6
13067030249,31.0,1711,85,5.0,0,0.0,0,0.0
13067030250,32.1,2591,129,5.0,63,2.4,46,1.8
13067030251,35.1,1741,52,3.0,0,0.0,0,0.0
13067030252,34.0,2609,84,3.2,0,0.0,14,0.5
13067030253,33.4,1698,111,6.5,0,0.0,16,0.9
13067030254,34.5,999,46,4.6,0,0.0,0,0.0
13067030255,25.8,3034,537,17.7,16,0.5,0,0.0
13067030256,25.9,3277,88,2.7,0,0.0,0,0.0
13067030257,21.6,2036,139,6.8,3,0.1,0,0.0
13067030258,24.2,1542,135,8.8,0,0.0,0,0.0
13067030259,24.9,2234,172,7.7,10,0.4,77,3.4
13067030260,26.7,2423,223,9.2,45,1.9,0,0.0
13067030261,29.3,2286,220,9.6,0,0.0,0,0.0
13067030262,32.7,2643,45,1.7,0,0.0,33,1.2
13067030263,30.4,1329,0,0.0,0,0.0,0,0.0
13067030264,29.6,1632,41,2.5,6,0.4,2,0.1
13067030265,32.4,2172,47,2.2,11,0.5,28,1.3
13067030266,35.2,1204,11,0.9,0,0.0,0,0.0
13067030267,31.4,1809,487,26.9,0,0.0,0,0.0
13067030268,34.2,1561,94,6.0,0,0.0,0,0.0
13067030269,33.3,1283,105,8.2,0,0.0,9,0.7
13067030270,39.7,1539,130,8.4,0,0.0,0,0.0
13067030271,32.9,1487,40,2.7,0,0.0,0,0.0
13067030272,26.7,1225,54,4.4,0,0.0,0,0.0
13067030273,32.6,1609,87,5.4,47,2.9,53,3.3
13067030274,30.2,2098,108,5.1,0,0.0,43,2.0
13067030275,28.0,1353,121,8.9,0,0.0,82,6.1
13067030276,44.6,1648,107,6.5,0,0.0,0,0.0
13067030277,36.5,1571,0,0.0,36,2.3,0,0.0
13067030278,23.0,2639,53,2.0,42,1.6,266,10.1
13067030319,28.1,2121,107,5.0,10,0.5,0,0.0
13067030322,35.6,2039,148,7.3,0,0.0,9,0.4
13067030324,28.5,2061,99,4.8,0,0.0,12,0.6
13067030326,29.2,2365,96,4.1,17,0.7,74,3.1
13067030327,35.9,2300,131,5.7,0,0.0,0,0.0
13067030329,29.6,2589,59,2.3,10,0.4,29,1.1
13067030331,28.9,2405,64,2.7,0,0.0,28,1.2
13067030332,28.7,1560,53,3.4,0,0.0,0,0.0
13067030334,29.7,1433,163,11.4,0,0.0,15,1.0
13067030335,29.6,2335,97,4.2,0,0.0,6,0.3
13067030337,28.0,2285,59,2.6,0,0.0,11,0.5
13067030340,34.0,2017,129,6.4,0,0.0,36,1.8
13067030341,29.4,2235,116,5.2,0,0.0,44,2.0
13067030342,29.3,2304,58,2.5,0,0.0,8,0.3
13067030343,32.0,2505,61,2.4,0,0.0,0,0.0
13067030344,24.6,2687,271,10.1,0,0.0,25,0.9
13067030345,32.7,5943,141,2.4,19,0.3,117,2.0
13067030346,25.8,2301,402,17.5,31,1.3,12,0.5
13067030347,29.2,2003,226,11.3,0,0.0,0,0.0
13067030348,29.3,2288,312,13.6,16,0.7,1,0.0
13067030349,26.9,1895,29,1.5,0,0.0,0,0.0
13067030350,28.8,1209,111,9.2,4,0.3,9,0.7
13067030351,25.9,1338,8,0.6,0,0.0,0,0.0
13067030352,21.6,1982,0,0.0,0,0.0,5,0.3
13067030353,24.0,2059,78,3.8,0,0.0,52,2.5
13067030354,29.3,2503,140,5.6,12,0.5,0,0.0
13067030355,20.7,1257,40,3.2,0,0.0,0,0.0
13067030356,27.7,3829,74,1.9,86,2.2,0,0.0
13067030357,24.0,1187,55,4.6,0,0.0,13,1.1
13067030358,28.7,1788,61,3.4,0,0.0,22,1.2
13067030359,25.3,2261,49,2.2,0,0.0,0,0.0
13067030360,29.1,1172,42,3.6,0,0.0,21,1.8
13067030361,26.3,2311,44,1.9,0,0.0,0,0.0
13067030362,23.7,2075,344,16.6,0,0.0,1,0.0
13067030363,27.3,1587,9,0.6,0,0.0,8,0.5
13067030364,31.8,1295,25,1.9,0,0.0,32,2.5
13067030365,21.4,1347,2,0.1,12,0.9,0,0.0
13067030366,36.9,1396,66,4.7,32,2.3,0,0.0
13067030367,33.9,1311,63,4.8,0,0.0,10,0.8
13067030368,36.8,1555,38,2.4,2,0.1,0,0.0
13067030369,32.7,1647,39,2.4,0,0.0,21,1.3
13067030370,30.4,1933,120,6.2,6,0.3,0,0.0
13067030405,28.4,3846,160,4.2,41,1.1,105,2.7
13067030407,24.3,2953,168,5.7,0,0.0,0,0.0
13067030408,22.8,1771,125,7.1,0,0.0,56,3.2
13067030409,29.4,1753,90,5.1,0,0.0,1,0.1
13067030410,33.4,2825,156,5.5,0,0.0,17,0.6
13067030411,28.6,994,149,15.0,9,0.9,62,6.2
13067030412,26.1,3037,338,11.1,0,0.0,21,0.7
13067030413,25.5,3867,431,11.1,0,0.0,0,0.0
13067030414,24.1,1847,250,13.5,0,0.0,41,2.2
13067030505,26.3,3576,507,14.2,0,0.0,0,0.0
13067030506,28.6,2017,156,7.7,0,0.0,11,0.5
13067030507,27.1,3278,309,9.4,0,0.0,285,8.7
13067030508,27.9,1450,131,9.0,0,0.0,4,0.3
13067030509,32.2,1878,37,2.0,0,0.0,13,0.7
13067030510,27.4,1044,27,2.6,0,0.0,6,0.6
13067030511,32.3,2376,174,7.3,0,0.0,15,0.6
13067030602,22.7,3366,114,3.4,22,0.7,0,0.0
13067030603,30.2,3740,287,7.7,37,1.0,0,0.0
13067030604,31.2,2457,138,5.6,63,2.6,83,3.4
13067030700,26.9,2091,451,21.6,0,0.0,27,1.3
13067030800,22.4,3074,405,13.2,78,2.5,259,8.4
13067030906,28.9,1847,164,8.9,0,0.0,0,0.0
13067030907,34.3,1838,91,5.0,0,0.0,0,0.0
13067030908,35.9,2311,446,19.3,0,0.0,23,1.0
13067030909,30.5,1176,18,1.5,0,0.0,0,0.0
13067030910,26.1,1806,311,17.2,93,5.1,19,1.1
13067030911,26.8,1302,103,7.9,0,0.0,14,1.1
13067030912,28.1,3082,834,27.1,0,0.0,41,1.3
13067031001,27.0,3005,652,21.7,11,0.4,26,0.9
13067031004,27.6,3655,516,14.1,282,7.7,0,0.0
13067031005,28.6,2598,264,10.2,8,0.3,0,0.0
13067031006,21.1,2452,656,26.8,0,0.0,18,0.7
13067031007,28.7,1557,107,6.9,0,0.0,20,1.3
13067031101,32.4,3119,382,12.2,0,0.0,0,0.0
13067031110,24.1,1885,292,15.5,0,0.0,98,5.2
13067031111,30.2,2027,63,3.1,5,0.2,37,1.8
13067031112,25.5,2734,372,13.6,0,0.0,9,0.3
13067031113,28.5,893,37,4.1,20,2.2,0,0.0
13067031114,28.0,4367,299,6.8,69,1.6,140,3.2
13067031115,29.9,2133,304,14.3,21,1.0,7,0.3
13067031116,28.8,2043,177,8.7,33,1.6,11,0.5
13067031117,28.4,3075,52,1.7,0,0.0,82,2.7
13067031118,28.9,3152,43,1.4,2,0.1,81,2.6
13067031119,34.0,1772,281,15.9,0,0.0,0,0.0
13067031120,36.6,2472,183,7.4,0,0.0,0,0.0
13067031121,27.3,1532,44,2.9,0,0.0,0,0.0
13067031122,21.5,1457,210,14.4,0,0.0,0,0.0
13067031207,22.3,4664,555,11.9,0,0.0,249,5.3
13067031209,24.4,2702,48,1.8,0,0.0,27,1.0
13067031212,27.5,1230,0,0.0,0,0.0,0,0.0
13067031213,29.3,1711,0,0.0,0,0.0,28,1.6
13067031214,24.4,2728,37,1.4,0,0.0,9,0.3
13067031215,27.3,3686,134,3.6,18,0.5,299,8.1
13067031216,29.3,2050,84,4.1,0,0.0,0,0.0
13067031217,30.0,2986,45,1.5,21,0.7,33,1.1
13067031218,23.1,1378,67,4.9,0,0.0,22,1.6
