GEOID,"# Age under 5 years, 2024","% Age under 5 years, 2024"
13067030104,85,2.3
13067030107,156,3.6
13067030108,342,6.4
13067030109,254,5.4
13067030110,254,5.8
13067030111,252,5.1
13067030112,26,1.0
13067030113,267,7.0
13067030220,42,2.5
13067030233,328,7.0
13067030235,125,2.3
13067030236,172,3.5
13067030240,204,4.3
13067030241,153,5.2
13067030242,431,9.4
13067030243,296,5.3
13067030244,107,2.3
13067030245,430,10.2
13067030246,115,5.0
13067030247,150,3.9
13067030248,305,4.2
13067030249,123,3.4
13067030250,184,3.4
13067030251,92,3.0
13067030252,159,3.3
13067030253,265,6.2
13067030254,97,5.6
13067030255,305,5.8
13067030256,123,2.1
13067030257,216,5.0
13067030258,99,3.0
13067030259,314,7.9
13067030260,0,0.0
13067030261,141,3.6
13067030262,325,6.6
13067030263,95,3.4
13067030264,131,4.4
13067030265,162,3.8
13067030266,86,3.3
13067030267,262,7.3
13067030268,173,5.2
13067030269,116,3.5
13067030270,183,6.0
13067030271,56,2.0
13067030272,92,4.2
13067030273,91,2.9
13067030274,190,4.7
13067030275,103,3.6
13067030276,71,2.2
13067030277,104,3.4
13067030278,144,2.6
13067030319,169,3.8
13067030322,446,11.3
13067030324,544,12.7
13067030326,253,5.6
13067030327,243,4.7
13067030329,195,4.4
13067030331,336,6.3
13067030332,182,6.0
13067030334,146,4.3
13067030335,260,5.3
13067030337,195,3.8
13067030340,229,5.4
13067030341,290,6.1
13067030342,200,4.1
13067030343,235,4.4
13067030344,311,8.5
13067030345,578,6.9
13067030346,537,9.6
13067030347,201,4.5
13067030348,183,4.3
13067030349,204,5.9
13067030350,90,4.2
13067030351,397,11.0
13067030352,294,5.1
13067030353,0,0.0
13067030354,297,6.3
13067030355,14,0.8
13067030356,71,1.6
13067030357,59,2.8
13067030358,83,2.4
13067030359,111,2.7
13067030360,119,5.8
13067030361,146,3.5
13067030362,161,4.7
13067030363,158,4.7
13067030364,318,11.3
13067030365,166,5.6
13067030366,320,10.2
13067030367,137,5.0
13067030368,168,5.5
13067030369,211,6.2
13067030370,165,4.1
13067030405,830,12.4
13067030407,447,8.1
13067030408,305,10.1
13067030409,93,2.7
13067030410,349,7.5
13067030411,222,10.8
13067030412,306,5.8
13067030413,523,8.5
13067030414,177,5.9
13067030505,391,7.2
13067030506,209,4.7
13067030507,392,6.1
13067030508,99,2.9
13067030509,191,5.2
13067030510,98,5.4
13067030511,280,6.5
13067030602,535,6.8
13067030603,404,6.9
13067030604,175,4.9
13067030700,182,4.0
13067030800,126,2.1
13067030906,192,4.7
13067030907,131,3.8
13067030908,96,2.1
13067030909,186,4.5
13067030910,396,11.8
13067030911,105,2.9
13067030912,824,11.7
13067031001,412,7.5
13067031004,660,7.2
13067031005,273,5.3
13067031006,149,3.3
13067031007,176,4.0
13067031101,617,9.6
13067031110,250,8.3
13067031111,100,3.2
13067031112,472,7.7
13067031113,155,10.9
13067031114,326,5.1
13067031115,223,5.4
13067031116,341,9.1
13067031117,440,7.6
13067031118,439,7.3
13067031119,335,7.9
13067031120,333,7.5
13067031121,34,1.4
13067031122,140,6.1
13067031207,34,0.6
13067031209,350,7.9
13067031212,182,6.6
13067031213,140,4.8
13067031214,146,3.6
13067031215,178,3.3
13067031216,202,6.4
13067031217,393,8.6
13067031218,66,3.1
13067031219,217,8.5
13067031220,133,5.1
13067031221,232,7.5
13067031306,158,3.8
13067031308,495,9.9
13067031314,147,2.6
13067031315,182,3.7
13067031316,271,3.9
13067031317,338,6.5
13067031318,418,8.1
13067031319,290,5.9
13067031320,310,6.2
13067031321,162,7.5
13067031322,238,5.5
13067031323,338,10.4
13067031324,364,9.2
13067031325,88,4.5
13067031409,284,4.9
13067031410,454,8.9
13067031411,257,6.4
13067031412,227,5.1
13067031413,352,9.3
13067031414,134,3.4
13067031415,28,1.3
13067031416,277,7.2
13067031417,139,3.8
13067031506,651,9.1
13067031507,195,6.4
13067031510,175,5.7
13067031511,339,5.2
13067031512,327,6.1
13067031513,391,6.4
13067031514,156,5.2
13067031515,211,5.4
13067031516,85,2.9
13067031517,188,5.7
13067031518,159,5.3
