GEOID,"% Unemployment Rate, 2024"
13067030104,4.8
13067030107,3.2
13067030108,1.7
13067030109,2.9
13067030110,5.3
13067030111,8.5
13067030112,4.1
13067030113,4.7
13067030220,4.7
13067030233,0.9
13067030235,1.6
13067030236,2.2
13067030240,7.8
13067030241,5.9
13067030242,5.2
13067030243,1.0
13067030244,5.8
13067030245,5.5
13067030246,6.7
13067030247,2.3
13067030248,8.4
13067030249,4.8
13067030250,4.1
13067030251,4.6
13067030252,8.0
13067030253,1.9
13067030254,3.1
13067030255,11.1
13067030256,1.0
13067030257,5.1
13067030258,19.9
13067030259,2.7
13067030260,1.4
13067030261,5.6
13067030262,5.1
13067030263,5.7
13067030264,3.9
13067030265,0.6
13067030266,2.8
13067030267,3.3
13067030268,1.1
13067030269,5.6
13067030270,4.1
13067030271,1.9
13067030272,2.6
13067030273,1.5
13067030274,9.7
13067030275,2.9
13067030276,3.5
13067030277,4.0
13067030278,10.1
13067030319,4.5
13067030322,0.9
13067030324,3.7
13067030326,1.8
13067030327,9.7
13067030329,2.8
13067030331,7.5
13067030332,3.5
13067030334,6.1
13067030335,2.6
13067030337,1.2
13067030340,5.2
13067030341,2.0
13067030342,3.9
13067030343,3.3
13067030344,2.7
13067030345,3.3
13067030346,7.1
13067030347,4.7
13067030348,2.8
13067030349,2.6
13067030350,0.0
13067030351,2.4
13067030352,5.7
13067030353,1.3
13067030354,4.1
13067030355,6.6
13067030356,1.1
13067030357,1.5
13067030358,1.0
13067030359,3.3
13067030360,2.0
13067030361,3.4
13067030362,3.9
13067030363,2.8
13067030364,3.5
13067030365,4.5
13067030366,1.5
13067030367,0.6
13067030368,3.6
13067030369,1.5
13067030370,1.9
13067030405,6.9
13067030407,1.0
13067030408,2.7
13067030409,2.9
13067030410,3.4
13067030411,14.1
13067030412,5.4
13067030413,8.4
13067030414,5.5
13067030505,2.0
13067030506,12.7
13067030507,7.2
13067030508,0.6
13067030509,3.0
13067030510,8.8
13067030511,6.5
13067030602,2.7
13067030603,2.6
13067030604,4.7
13067030700,1.2
13067030800,7.3
13067030906,4.4
13067030907,3.7
13067030908,7.0
13067030909,3.2
13067030910,1.4
13067030911,12.9
13067030912,4.7
13067031001,7.1
13067031004,11.1
13067031005,2.8
13067031006,6.9
13067031007,3.8
13067031101,3.0
13067031110,1.7
13067031111,0.4
13067031112,4.9
13067031113,5.9
13067031114,2.2
13067031115,3.4
13067031116,4.7
13067031117,2.4
13067031118,2.5
13067031119,3.8
13067031120,1.9
13067031121,3.6
13067031122,0.9
13067031207,2.3
13067031209,1.2
13067031212,0.9
13067031213,2.3
13067031214,3.8
13067031215,7.2
13067031216,2.3
13067031217,6.8
13067031218,3.6
13067031219,2.2
13067031220,6.5
13067031221,5.9
13067031306,8.3
13067031308,4.9
13067031314,2.1
13067031315,3.0
13067031316,3.0
13067031317,7.8
13067031318,5.5
13067031319,2.9
13067031320,8.5
13067031321,1.9
13067031322,6.8
13067031323,4.6
13067031324,4.3
13067031325,9.5
13067031409,7.7
13067031410,4.0
13067031411,0.5
13067031412,4.1
13067031413,4.2
13067031414,3.6
13067031415,2.5
13067031416,4.2
13067031417,12.3
13067031506,0.5
13067031507,9.5
13067031510,4.3
13067031511,11.3
13067031512,6.8
13067031513,7.5
13067031514,9.6
13067031515,4.2
13067031516,1.5
13067031517,4.8
13067031518,2.3
