GEOID,"% Householder 65 years and over living alone, 2024","% Householder 65 years and over living alone, 2024 (normalized)"
13067030104,26.6,0.0038022813688212143
13067030107,14.3,0.47148288973384034
13067030108,9.4,0.6577946768060836
13067030109,12.1,0.5551330798479088
13067030110,15.5,0.42585551330798477
13067030111,18.7,0.30418250950570347
13067030112,18.1,0.3269961977186311
13067030113,6.5,0.7680608365019012
13067030220,6.2,0.779467680608365
13067030233,11.8,0.5665399239543727
13067030235,3.1,0.8973384030418251
13067030236,3.1,0.8973384030418251
13067030240,3.4,0.8859315589353612
13067030241,4.1,0.8593155893536122
13067030242,7.4,0.7338403041825095
13067030243,4.5,0.844106463878327
13067030244,8.3,0.6996197718631179
13067030245,1.5,0.9581749049429658
13067030246,5.8,0.7946768060836502
13067030247,5.3,0.8136882129277567
13067030248,8.8,0.6806083650190113
13067030249,11.9,0.5627376425855514
13067030250,5.3,0.8136882129277567
13067030251,13.9,0.48669201520912553
13067030252,1.5,0.9581749049429658
13067030253,12.1,0.5551330798479088
13067030254,9.6,0.6501901140684412
13067030255,7.9,0.714828897338403
13067030256,4.0,0.8631178707224334
13067030257,26.7,0.0
13067030258,13.8,0.49049429657794674
13067030259,9.0,0.6730038022813689
13067030260,7.6,0.726235741444867
13067030261,6.4,0.7718631178707225
13067030262,4.6,0.8403041825095057
13067030263,6.6,0.7642585551330798
13067030264,0.8,0.9847908745247148
13067030265,4.0,0.8631178707224334
13067030266,5.9,0.7908745247148289
13067030267,3.2,0.8935361216730038
13067030268,3.7,0.8745247148288973
13067030269,24.1,0.09885931558935357
13067030270,13.1,0.5171102661596958
13067030271,2.7,0.9125475285171103
13067030272,6.7,0.7604562737642586
13067030273,4.9,0.8288973384030418
13067030274,6.0,0.7870722433460076
13067030275,6.9,0.752851711026616
13067030276,8.3,0.6996197718631179
13067030277,1.9,0.9429657794676806
13067030278,4.4,0.8479087452471483
13067030319,11.6,0.5741444866920152
13067030322,5.1,0.8212927756653993
13067030324,6.4,0.7718631178707225
13067030326,5.8,0.7946768060836502
13067030327,3.8,0.870722433460076
13067030329,7.9,0.714828897338403
13067030331,8.6,0.688212927756654
13067030332,4.3,0.8517110266159695
13067030334,12.6,0.5361216730038023
13067030335,5.7,0.7984790874524715
13067030337,14.9,0.4486692015209126
13067030340,17.2,0.3612167300380228
13067030341,5.5,0.8060836501901141
13067030342,6.2,0.779467680608365
13067030343,2.5,0.9201520912547528
13067030344,6.5,0.7680608365019012
13067030345,2.4,0.9239543726235742
13067030346,12.5,0.5399239543726235
13067030347,8.5,0.6920152091254753
13067030348,2.5,0.9201520912547528
13067030349,12.8,0.5285171102661597
13067030350,18.7,0.30418250950570347
13067030351,7.2,0.7414448669201521
13067030352,14.8,0.4524714828897338
13067030353,7.9,0.714828897338403
13067030354,9.0,0.6730038022813689
13067030355,10.9,0.6007604562737643
13067030356,5.3,0.8136882129277567
13067030357,11.1,0.5931558935361216
13067030358,6.8,0.7566539923954373
13067030359,10.9,0.6007604562737643
13067030360,4.0,0.8631178707224334
13067030361,2.8,0.908745247148289
13067030362,9.3,0.6615969581749049
13067030363,25.8,0.034220532319391594
13067030364,3.3,0.8897338403041826
13067030365,9.9,0.6387832699619772
13067030366,5.8,0.7946768060836502
13067030367,4.8,0.8326996197718631
13067030368,3.4,0.8859315589353612
13067030369,7.5,0.7300380228136882
13067030370,4.1,0.8593155893536122
13067030405,10.2,0.6273764258555133
13067030407,8.0,0.7110266159695817
13067030408,4.3,0.8517110266159695
13067030409,12.3,0.5475285171102662
13067030410,14.3,0.47148288973384034
13067030411,7.6,0.726235741444867
13067030412,2.5,0.9201520912547528
