GEOID,"% Population 25 years and over, bachelor's degree, 2024","% Population 25 years and over, bachelor's degree, 2024 (normalized)"
13067030104,13.7,0.18940936863543786
13067030107,25.7,0.4338085539714867
13067030108,34.0,0.6028513238289206
13067030109,34.1,0.604887983706721
13067030110,29.3,0.5071283095723014
13067030111,32.5,0.5723014256619144
13067030112,24.4,0.40733197556008144
13067030113,17.2,0.2606924643584521
13067030220,33.4,0.5906313645621181
13067030233,39.6,0.7169042769857434
13067030235,35.1,0.6252545824847251
13067030236,41.0,0.745417515274949
13067030240,31.5,0.5519348268839104
13067030241,34.8,0.6191446028513238
13067030242,35.3,0.6293279022403259
13067030243,30.4,0.5295315682281059
13067030244,42.1,0.7678207739307537
13067030245,37.6,0.6761710794297353
13067030246,14.8,0.21181262729124237
13067030247,15.3,0.2219959266802444
13067030248,30.2,0.525458248472505
13067030249,38.5,0.6945010183299389
13067030250,39.1,0.7067209775967414
13067030251,43.8,0.8024439918533605
13067030252,33.9,0.6008146639511202
13067030253,47.1,0.869653767820774
13067030254,29.1,0.5030549898167006
13067030255,29.6,0.5132382892057027
13067030256,46.6,0.8594704684317719
13067030257,35.3,0.6293279022403259
13067030258,39.1,0.7067209775967414
13067030259,27.5,0.4704684317718941
13067030260,13.2,0.17922606924643583
13067030261,31.9,0.560081466395112
13067030262,32.0,0.5621181262729125
13067030263,26.8,0.4562118126272912
13067030264,30.2,0.525458248472505
13067030265,44.9,0.824847250509165
13067030266,47.5,0.8778004073319756
13067030267,31.7,0.5560081466395111
13067030268,36.1,0.6456211812627292
13067030269,21.6,0.3503054989816701
13067030270,39.9,0.7230142566191445
13067030271,24.4,0.40733197556008144
13067030272,32.0,0.5621181262729125
13067030273,37.8,0.680244399185336
13067030274,22.7,0.37270875763747446
13067030275,28.1,0.4826883910386966
13067030276,34.4,0.6109979633401221
13067030277,36.5,0.6537678207739308
13067030278,31.6,0.5539714867617108
13067030319,39.9,0.7230142566191445
13067030322,47.1,0.869653767820774
13067030324,29.7,0.515274949083503
13067030326,44.2,0.8105906313645622
13067030327,39.2,0.7087576374745418
13067030329,39.1,0.7067209775967414
13067030331,41.0,0.745417515274949
13067030332,44.8,0.8228105906313645
13067030334,42.4,0.7739307535641547
13067030335,50.9,0.9470468431771893
13067030337,45.9,0.845213849287169
13067030340,36.5,0.6537678207739308
13067030341,45.4,0.8350305498981669
13067030342,41.3,0.7515274949083502
13067030343,44.4,0.8146639511201629
13067030344,42.3,0.7718940936863543
13067030345,49.8,0.9246435845213848
13067030346,19.6,0.30957230142566194
13067030347,32.5,0.5723014256619144
13067030348,32.0,0.5621181262729125
13067030349,28.3,0.4867617107942973
13067030350,31.9,0.560081466395112
13067030351,46.2,0.8513238289205703
13067030352,27.5,0.4704684317718941
13067030353,51.0,0.9490835030549898
13067030354,43.8,0.8024439918533605
13067030355,53.5,1.0
13067030356,39.8,0.7209775967413441
13067030357,39.4,0.7128309572301426
13067030358,35.0,0.6232179226069247
13067030359,44.1,0.8085539714867618
13067030360,39.3,0.7107942973523421
13067030361,33.8,0.5987780040733197
13067030362,26.9,0.45824847250509165
13067030363,21.8,0.35437881873727084
13067030364,42.7,0.7800407331975561
13067030365,48.8,0.9042769857433808
13067030366,48.4,0.8961303462321792
13067030367,41.5,0.7556008146639511
13067030368,32.3,0.5682281059063136
13067030369,48.0,0.8879837067209776
13067030370,50.7,0.9429735234215887
13067030405,29.3,0.5071283095723014
13067030407,41.7,0.759674134419552
13067030408,42.2,0.769857433808554
13067030409,37.3,0.670061099796334
13067030410,44.0,0.8065173116089613
13067030411,28.3,0.4867617107942973
13067030412,27.6,0.47250509164969456
13067030413,26.7,0.4541751527494908
13067030414,17.4,0.2647657841140529
13067030505,29.3,0.5071283095723014
13067030506,27.1,0.46232179226069253
13067030507,31.0,0.5417515274949084
13067030508,19.2,0.30142566191446024
13067030509,39.0,0.7046843177189409
13067030510,37.5,0.6741344195519349
13067030511,27.8,0.4765784114052953
13067030602,31.6,0.5539714867617108
13067030603,27.2,0.4643584521384928
13067030604,10.2,0.1181262729124236
13067030700,33.3,0.5885947046843176
13067030800,29.7,0.515274949083503
13067030906,40.1,0.7270875763747454
13067030907,38.5,0.6945010183299389
13067030908,18.9,0.29531568228105903
13067030909,12.6,0.1670061099796334
13067030910,26.1,0.4419551934826884
13067030911,20.8,0.3340122199592668
13067030912,21.5,0.3482688391038697
13067031001,13.1,0.17718940936863542
