GEOID,"% Civilian non-institutionalized population, no health insurance, 2024","% Civilian non-institutionalized population, no health insurance, 2024 (normalized)"
13067030104,17.8,0.6335403726708074
13067030107,9.2,0.8115942028985508
13067030108,18.0,0.629399585921325
13067030109,8.6,0.8240165631469979
13067030110,15.3,0.6853002070393375
13067030111,9.3,0.8095238095238095
13067030112,14.2,0.7080745341614907
13067030113,13.3,0.7267080745341614
13067030220,3.2,0.9358178053830227
13067030233,4.6,0.9068322981366459
13067030235,6.8,0.8612836438923395
13067030236,5.3,0.8923395445134575
13067030240,10.1,0.7929606625258799
13067030241,4.6,0.9068322981366459
13067030242,12.4,0.7453416149068323
13067030243,7.4,0.8488612836438924
13067030244,3.4,0.9316770186335404
13067030245,2.2,0.9565217391304348
13067030246,8.8,0.8198757763975155
13067030247,7.2,0.8530020703933747
13067030248,16.3,0.6645962732919255
13067030249,8.0,0.8364389233954451
13067030250,6.0,0.8778467908902692
13067030251,2.6,0.94824016563147
13067030252,1.2,0.9772256728778468
13067030253,1.8,0.9648033126293996
13067030254,4.5,0.9089026915113871
13067030255,8.2,0.8322981366459627
13067030256,1.0,0.9813664596273292
13067030257,11.2,0.7701863354037267
13067030258,32.2,0.3354037267080745
13067030259,9.9,0.7971014492753623
13067030260,18.5,0.6190476190476191
13067030261,8.1,0.834368530020704
13067030262,1.6,0.968944099378882
13067030263,4.8,0.9026915113871635
13067030264,4.6,0.9068322981366459
13067030265,0.1,1.0
13067030266,3.1,0.937888198757764
13067030267,2.1,0.9585921325051759
13067030268,4.9,0.9006211180124224
13067030269,6.7,0.8633540372670807
13067030270,1.9,0.9627329192546584
13067030271,20.4,0.5797101449275363
13067030272,5.3,0.8923395445134575
13067030273,8.8,0.8198757763975155
13067030274,16.4,0.6625258799171843
13067030275,10.7,0.7805383022774327
13067030276,0.4,0.9937888198757764
13067030277,9.6,0.8033126293995859
13067030278,10.7,0.7805383022774327
13067030319,3.8,0.9233954451345756
13067030322,1.3,0.9751552795031055
13067030324,7.4,0.8488612836438924
13067030326,2.1,0.9585921325051759
13067030327,8.2,0.8322981366459627
13067030329,6.3,0.8716356107660456
13067030331,5.0,0.8985507246376812
13067030332,0.5,0.9917184265010351
13067030334,2.4,0.9523809523809523
13067030335,2.5,0.9503105590062112
13067030337,4.8,0.9026915113871635
13067030340,2.4,0.9523809523809523
13067030341,7.0,0.8571428571428571
13067030342,2.5,0.9503105590062112
13067030343,2.6,0.94824016563147
13067030344,19.2,0.6045548654244306
13067030345,9.8,0.7991718426501035
13067030346,11.2,0.7701863354037267
13067030347,17.0,0.650103519668737
13067030348,6.7,0.8633540372670807
13067030349,14.2,0.7080745341614907
13067030350,10.4,0.7867494824016563
13067030351,4.8,0.9026915113871635
13067030352,3.2,0.9358178053830227
13067030353,7.3,0.8509316770186335
