GEOID,"% Occupied housing units, no vehicles available, 2024","% Occupied housing units, no vehicles available, 2024 (normalized)"
13067030104,15.1,0.3228699551569507
13067030107,1.3,0.9417040358744395
13067030108,0.0,1.0
13067030109,1.3,0.9417040358744395
13067030110,7.9,0.6457399103139013
13067030111,2.2,0.9013452914798206
13067030112,2.0,0.9103139013452914
13067030113,0.7,0.968609865470852
13067030220,0.0,1.0
13067030233,0.4,0.9820627802690582
13067030235,0.7,0.968609865470852
13067030236,0.0,1.0
13067030240,3.3,0.852017937219731
13067030241,4.0,0.820627802690583
13067030242,1.0,0.9551569506726457
13067030243,2.2,0.9013452914798206
13067030244,2.7,0.8789237668161435
13067030245,0.0,1.0
13067030246,0.0,1.0
13067030247,8.6,0.6143497757847534
13067030248,5.5,0.7533632286995515
13067030249,13.9,0.37668161434977576
13067030250,3.2,0.8565022421524664
13067030251,0.9,0.9596412556053812
13067030252,0.3,0.9865470852017937
13067030253,0.7,0.968609865470852
13067030254,8.9,0.600896860986547
13067030255,3.0,0.8654708520179373
13067030256,0.6,0.9730941704035875
13067030257,16.0,0.2825112107623319
13067030258,7.9,0.6457399103139013
13067030259,2.1,0.905829596412556
13067030260,6.0,0.7309417040358744
13067030261,2.4,0.8923766816143498
13067030262,6.2,0.7219730941704036
13067030263,2.9,0.8699551569506727
13067030264,0.8,0.9641255605381166
13067030265,0.0,1.0
13067030266,1.0,0.9551569506726457
13067030267,0.7,0.968609865470852
13067030268,0.0,1.0
13067030269,3.4,0.8475336322869955
13067030270,0.0,1.0
13067030271,0.0,1.0
13067030272,0.9,0.9596412556053812
13067030273,1.1,0.9506726457399103
13067030274,3.5,0.8430493273542601
13067030275,8.4,0.6233183856502242
13067030276,10.1,0.547085201793722
13067030277,0.0,1.0
13067030278,0.3,0.9865470852017937
13067030319,3.3,0.852017937219731
13067030322,0.6,0.9730941704035875
13067030324,2.1,0.905829596412556
13067030326,3.9,0.8251121076233184
13067030327,0.0,1.0
13067030329,0.0,1.0
13067030331,1.4,0.9372197309417041
13067030332,1.8,0.9192825112107623
13067030334,0.0,1.0
13067030335,1.2,0.9461883408071748
13067030337,0.4,0.9820627802690582
13067030340,0.7,0.968609865470852
13067030341,2.1,0.905829596412556
13067030342,0.6,0.9730941704035875
13067030343,0.4,0.9820627802690582
13067030344,7.8,0.6502242152466369
13067030345,3.2,0.8565022421524664
13067030346,0.0,1.0
13067030347,0.8,0.9641255605381166
13067030348,3.2,0.8565022421524664
13067030349,1.0,0.9551569506726457
13067030350,0.0,1.0
13067030351,0.0,1.0
13067030352,10.5,0.5291479820627802
13067030353,0.8,0.9641255605381166
13067030354,4.8,0.7847533632286996
13067030355,3.6,0.8385650224215246
13067030356,5.3,0.7623318385650224
13067030357,0.4,0.9820627802690582
13067030358,0.0,1.0
13067030359,3.6,0.8385650224215246
13067030360,0.0,1.0
13067030361,0.0,1.0
13067030362,2.1,0.905829596412556
13067030363,3.1,0.8609865470852018
13067030364,1.7,0.9237668161434978
13067030365,1.1,0.9506726457399103
13067030366,2.6,0.8834080717488789
13067030367,7.3,0.6726457399103138
13067030368,1.0,0.9551569506726457
13067030369,0.0,1.0
13067030370,0.0,1.0
13067030405,8.1,0.6367713004484306
13067030407,2.0,0.9103139013452914
13067030408,4.1,0.8161434977578476
13067030409,0.0,1.0
13067030410,5.9,0.7354260089686099
13067030411,19.2,0.13901345291479827
13067030412,17.4,0.21973094170403595
13067030413,3.8,0.8295964125560538
13067030414,4.8,0.7847533632286996
13067030505,1.2,0.9461883408071748
13067030506,1.2,0.9461883408071748
13067030507,0.2,0.9910313901345291
13067030508,3.4,0.8475336322869955
13067030509,0.0,1.0
13067030510,0.8,0.9641255605381166
13067030511,2.5,0.8878923766816144
13067030602,8.5,0.6188340807174888
13067030603,1.7,0.9237668161434978
13067030604,5.1,0.7713004484304933
13067030700,20.5,0.08071748878923768
13067030800,12.0,0.4618834080717489
13067030906,9.5,0.5739910313901345
13067030907,0.0,1.0
13067030908,1.3,0.9417040358744395
13067030909,4.7,0.789237668161435
13067030910,6.8,0.695067264573991
13067030911,5.0,0.7757847533632287
13067030912,10.5,0.5291479820627802
13067031001,12.5,0.4394618834080718
13067031004,20.5,0.08071748878923768
13067031005,2.5,0.8878923766816144
13067031006,22.3,0.0
13067031007,13.8,0.3811659192825112
13067031101,10.6,0.5246636771300448
13067031110,3.2,0.8565022421524664
13067031111,3.7,0.8340807174887892
13067031112,2.5,0.8878923766816144
13067031113,9.6,0.5695067264573992
13067031114,3.3,0.852017937219731
13067031115,3.1,0.8609865470852018
13067031116,2.8,0.874439461883408
13067031117,0.0,1.0
13067031118,3.8,0.8295964125560538
13067031119,0.7,0.968609865470852
13067031120,1.5,0.9327354260089686
13067031121,3.0,0.8654708520179373
13067031122,0.9,0.9596412556053812
13067031207,1.6,0.9282511210762332
13067031209,0.3,0.9865470852017937
13067031212,0.0,1.0
13067031213,2.0,0.9103139013452914
13067031214,2.6,0.8834080717488789
13067031215,2.0,0.9103139013452914
13067031216,0.0,1.0
13067031217,2.9,0.8699551569506727
13067031218,0.0,1.0
13067031219,6.7,0.6995515695067265
13067031220,8.5,0.6188340807174888
13067031221,8.1,0.6367713004484306
13067031306,4.3,0.8071748878923767
13067031308,4.0,0.820627802690583
13067031314,0.9,0.9596412556053812
13067031315,1.4,0.9372197309417041
13067031316,0.0,1.0
13067031317,4.7,0.789237668161435
13067031318,5.0,0.7757847533632287
13067031319,2.7,0.8789237668161435
13067031320,11.7,0.4753363228699552
13067031321,14.5,0.34977578475336324
13067031322,6.8,0.695067264573991
13067031323,3.0,0.8654708520179373
13067031324,4.4,0.8026905829596412
13067031325,0.0,1.0
13067031409,2.7,0.8789237668161435
13067031410,4.1,0.8161434977578476
13067031411,0.4,0.9820627802690582
13067031412,9.0,0.5964125560538116
13067031413,4.1,0.8161434977578476
13067031414,2.7,0.8789237668161435
13067031415,6.6,0.7040358744394619
13067031416,0.0,1.0
13067031417,4.1,0.8161434977578476
13067031506,1.5,0.9327354260089686
13067031507,3.1,0.8609865470852018
13067031510,3.7,0.8340807174887892
13067031511,1.7,0.9237668161434978
13067031512,0.8,0.9641255605381166
13067031513,0.0,1.0
13067031514,0.6,0.9730941704035875
13067031515,2.4,0.8923766816143498
13067031516,2.2,0.9013452914798206
13067031517,4.7,0.789237668161435
13067031518,1.6,0.9282511210762332
