GEOID,E_MHLTH,E_MHLTH (normalized)
13067030107,14.8,0.6029411764705882
13067030250,13.4,0.7058823529411764
13067030251,13.6,0.6911764705882353
13067030254,17.6,0.3970588235294117
13067030262,13.0,0.7352941176470589
13067030268,13.8,0.6764705882352942
13067030329,13.9,0.6691176470588236
13067030340,13.2,0.7205882352941178
13067030349,14.8,0.6029411764705882
13067030363,14.7,0.6102941176470589
13067030412,19.7,0.24264705882352944
13067030912,18.9,0.30147058823529427
13067031510,16.3,0.4926470588235293
13067030112,16.0,0.5147058823529411
13067030366,10.8,0.8970588235294117
13067030602,12.2,0.7941176470588236
13067031116,16.3,0.4926470588235293
13067031207,13.8,0.6764705882352942
13067031308,17.7,0.38970588235294124
13067031325,13.2,0.7205882352941178
13067031511,15.6,0.5441176470588236
13067030267,13.9,0.6691176470588236
13067030335,10.8,0.8970588235294117
13067030342,12.2,0.7941176470588236
13067030911,18.6,0.32352941176470573
13067031218,13.8,0.6764705882352942
13067031221,13.2,0.7205882352941178
13067031518,15.6,0.5441176470588236
13067030220,14.7,0.6102941176470589
13067030235,14.7,0.6102941176470589
13067030246,23.0,0.0
13067030354,11.1,0.875
13067031121,15.2,0.573529411764706
13067031409,16.9,0.44852941176470595
13067031410,14.8,0.6029411764705882
13067031516,13.7,0.6838235294117647
13067030263,13.0,0.7352941176470589
13067030274,16.0,0.5147058823529411
13067030324,14.9,0.5955882352941176
13067030341,13.2,0.7205882352941178
13067030350,13.5,0.6985294117647058
13067030510,12.1,0.8014705882352942
13067031112,12.4,0.7794117647058824
13067031115,15.4,0.5588235294117647
13067031216,12.7,0.7573529411764707
13067031316,15.9,0.5220588235294117
13067030365,11.2,0.8676470588235294
13067030410,14.0,0.661764705882353
13067030413,19.9,0.2279411764705883
13067030508,16.9,0.44852941176470595
13067031006,17.5,0.40441176470588236
13067031119,17.3,0.4191176470588235
13067031212,9.4,1.0
13067031217,15.4,0.5588235294117647
13067031317,17.6,0.3970588235294117
13067031320,19.1,0.2867647058823528
13067031512,17.1,0.4338235294117646
13067030261,13.8,0.6764705882352942
13067030319,11.9,0.8161764705882353
13067030405,17.4,0.41176470588235303
13067031101,19.4,0.26470588235294124
13067031215,13.5,0.6985294117647058
13067031411,17.3,0.4191176470588235
13067031513,15.7,0.536764705882353
13067031514,15.4,0.5588235294117647
13067030265,12.5,0.7720588235294118
13067030337,10.3,0.9338235294117647
13067030353,12.6,0.7647058823529412
13067030243,16.6,0.47058823529411753
13067030244,12.3,0.7867647058823529
13067030270,13.4,0.7058823529411764
13067030275,19.4,0.26470588235294124
13067030351,12.6,0.7647058823529412
13067030352,11.4,0.8529411764705882
13067030356,14.9,0.5955882352941176
13067030507,13.9,0.6691176470588236
13067031004,19.7,0.24264705882352944
13067031120,14.9,0.5955882352941176
