GEOID,"% Renter-occupied housing units, 2024","% Renter-occupied housing units, 2024 (normalized)"
13067030104,48.2,0.5211267605633803
13067030107,17.8,0.8269617706237424
13067030108,11.7,0.8883299798792756
13067030109,32.4,0.6800804828973843
13067030110,29.0,0.7142857142857143
13067030111,21.8,0.7867203219315896
13067030112,65.4,0.3480885311871227
13067030113,15.1,0.8541247484909457
13067030220,10.9,0.8963782696177063
13067030233,1.8,0.9879275653923542
13067030235,4.9,0.9567404426559356
13067030236,1.4,0.9919517102615694
13067030240,21.8,0.7867203219315896
13067030241,8.1,0.9245472837022133
13067030242,9.1,0.9144869215291751
13067030243,16.9,0.836016096579477
13067030244,2.2,0.9839034205231388
13067030245,18.5,0.8199195171026157
13067030246,43.3,0.5704225352112677
13067030247,74.6,0.25553319919517103
13067030248,72.6,0.2756539235412475
13067030249,54.7,0.45573440643863183
13067030250,1.9,0.9869215291750503
13067030251,4.6,0.959758551307847
13067030252,6.5,0.9406438631790744
13067030253,9.4,0.9114688128772636
13067030254,13.0,0.8752515090543259
13067030255,40.5,0.5985915492957747
13067030256,2.3,0.9828973843058351
13067030257,53.5,0.4678068410462777
13067030258,52.1,0.4818913480885312
13067030259,36.0,0.6438631790744467
13067030260,45.7,0.5462776659959758
13067030261,13.3,0.8722334004024145
13067030262,12.1,0.8843058350100603
13067030263,23.2,0.7726358148893361
13067030264,3.0,0.9758551307847082
13067030265,3.6,0.9698189134808853
13067030266,0.9,0.9969818913480886
13067030267,1.2,0.993963782696177
13067030268,0.6,1.0
13067030269,6.1,0.9446680080482898
13067030270,5.8,0.9476861167002012
13067030271,9.8,0.9074446680080482
13067030272,13.4,0.8712273641851107
13067030273,5.7,0.948692152917505
13067030274,21.5,0.789738430583501
13067030275,44.2,0.5613682092555332
13067030276,9.8,0.9074446680080482
13067030277,2.1,0.9849094567404426
13067030278,49.5,0.5080482897384306
13067030319,10.5,0.9004024144869215
13067030322,2.8,0.9778672032193159
13067030324,6.2,0.9436619718309859
13067030326,5.0,0.9557344064386318
13067030327,19.7,0.8078470824949698
13067030329,16.9,0.836016096579477
13067030331,2.9,0.9768611670020121
13067030332,4.0,0.96579476861167
13067030334,9.9,0.9064386317907445
13067030335,3.8,0.9678068410462777
13067030337,4.0,0.96579476861167
13067030340,4.6,0.959758551307847
13067030341,9.8,0.9074446680080482
13067030342,5.0,0.9557344064386318
13067030343,1.3,0.9929577464788732
13067030344,86.7,0.13380281690140838
13067030345,84.9,0.1519114688128772
13067030346,14.9,0.8561368209255533
13067030347,19.2,0.8128772635814889
13067030348,14.7,0.858148893360161
13067030349,13.0,0.8752515090543259
13067030350,22.8,0.7766599597585513
13067030351,4.1,0.9647887323943662
13067030352,12.0,0.8853118712273642
13067030353,44.2,0.5613682092555332
13067030354,21.1,0.7937625754527163
13067030355,99.3,0.007042253521126751
13067030356,80.7,0.19416498993963782
13067030357,6.4,0.9416498993963782
13067030358,3.2,0.9738430583501007
13067030359,7.6,0.9295774647887324
