LocationName,Lack of reliable transportation in the past 12 months among adults,Lack of reliable transportation in the past 12 months among adults (normalized)
13067030104,8.6,0.6445783132530121
13067030107,6.7,0.7590361445783133
13067030108,5.3,0.8433734939759037
13067030109,5.6,0.8253012048192772
13067030110,8.5,0.6506024096385543
13067030111,7.9,0.6867469879518072
13067030112,8.8,0.6325301204819277
13067030113,9.5,0.5903614457831325
13067030220,6.3,0.783132530120482
13067030233,5.5,0.8313253012048193
13067030235,6.1,0.7951807228915664
13067030236,4.9,0.8674698795180723
13067030240,6.3,0.783132530120482
13067030241,6.0,0.8012048192771084
13067030242,6.8,0.7530120481927711
13067030243,7.4,0.7168674698795181
13067030244,4.2,0.9096385542168675
13067030245,4.8,0.8734939759036144
13067030246,12.9,0.3855421686746989
13067030247,10.5,0.5301204819277109
13067030248,10.6,0.5240963855421688
13067030249,7.8,0.6927710843373495
13067030250,4.4,0.8975903614457832
13067030251,4.7,0.8795180722891567
13067030252,4.8,0.8734939759036144
13067030253,5.3,0.8433734939759037
13067030254,10.6,0.5240963855421688
13067030255,9.0,0.6204819277108434
13067030256,4.4,0.8975903614457832
13067030257,7.7,0.6987951807228916
13067030258,7.0,0.7409638554216869
13067030259,8.9,0.6265060240963856
13067030260,8.5,0.6506024096385543
13067030261,7.5,0.7108433734939759
13067030262,4.7,0.8795180722891567
13067030263,5.1,0.8554216867469879
13067030264,4.9,0.8674698795180723
13067030265,4.6,0.8855421686746988
13067030266,4.3,0.9036144578313253
13067030267,4.7,0.8795180722891567
13067030268,4.7,0.8795180722891567
13067030269,7.2,0.7289156626506024
13067030270,6.2,0.7891566265060241
13067030271,8.7,0.6385542168674699
13067030272,5.8,0.8132530120481928
13067030273,5.0,0.8614457831325302
13067030274,7.7,0.6987951807228916
13067030275,10.8,0.5120481927710843
13067030276,4.5,0.891566265060241
13067030277,5.0,0.8614457831325302
13067030278,8.4,0.6566265060240963
13067030319,3.9,0.927710843373494
13067030322,3.7,0.9397590361445783
13067030324,5.3,0.8433734939759037
13067030326,3.9,0.927710843373494
13067030327,5.3,0.8433734939759037
13067030329,5.0,0.8614457831325302
13067030331,3.8,0.9337349397590362
13067030332,3.5,0.9518072289156627
13067030334,3.8,0.9337349397590362
13067030335,3.5,0.9518072289156627
13067030337,3.1,0.9759036144578314
13067030340,4.0,0.9216867469879518
13067030341,4.6,0.8855421686746988
13067030342,4.0,0.9216867469879518
13067030343,3.3,0.963855421686747
13067030344,9.2,0.608433734939759
13067030345,6.9,0.7469879518072289
13067030346,7.1,0.7349397590361446
13067030347,6.4,0.7771084337349398
13067030348,6.5,0.7710843373493976
13067030349,6.9,0.7469879518072289
13067030350,5.7,0.8192771084337349
13067030351,3.6,0.9457831325301205
13067030352,4.0,0.9216867469879518
13067030353,5.1,0.8554216867469879
13067030354,3.7,0.9397590361445783
13067030355,6.5,0.7710843373493976
13067030356,5.2,0.8493975903614458
13067030357,4.1,0.9156626506024097
13067030358,4.3,0.9036144578313253
13067030359,4.3,0.9036144578313253
13067030360,3.5,0.9518072289156627
13067030361,7.1,0.7349397590361446
13067030362,5.7,0.8192771084337349
13067030363,6.4,0.7771084337349398
13067030364,4.4,0.8975903614457832
13067030365,3.5,0.9518072289156627
13067030366,3.6,0.9457831325301205
13067030367,3.8,0.9337349397590362
13067030368,5.0,0.8614457831325302
13067030369,3.4,0.9578313253012049
13067030370,3.3,0.963855421686747
13067030405,10.4,0.536144578313253
13067030407,5.3,0.8433734939759037
13067030408,5.6,0.8253012048192772
13067030409,3.9,0.927710843373494
13067030410,5.7,0.8192771084337349
13067030411,12.8,0.39156626506024095
13067030412,15.2,0.246987951807229
13067030413,12.6,0.40361445783132543
13067030414,16.7,0.15662650602409645
13067030505,11.6,0.4638554216867471
13067030506,9.7,0.5783132530120483
13067030507,6.3,0.783132530120482
13067030508,9.5,0.5903614457831325
13067030509,4.5,0.891566265060241
13067030510,4.9,0.8674698795180723
13067030511,10.4,0.536144578313253
13067030602,4.3,0.9036144578313253
13067030603,7.2,0.7289156626506024
13067030604,8.5,0.6506024096385543
13067030700,10.5,0.5301204819277109
13067030800,12.5,0.40963855421686746
13067030906,7.7,0.6987951807228916
13067030907,5.6,0.8253012048192772
13067030908,10.4,0.536144578313253
13067030909,11.8,0.4518072289156626
13067030910,12.1,0.4337349397590363
13067030911,14.7,0.2771084337349399
13067030912,14.3,0.3012048192771084
13067031001,16.6,0.16265060240963847
13067031004,17.7,0.09638554216867479
13067031005,10.1,0.5542168674698795
13067031006,11.9,0.4457831325301206
13067031007,17.8,0.09036144578313254
13067031101,12.8,0.39156626506024095
13067031110,6.4,0.7771084337349398
13067031111,6.7,0.7590361445783133
13067031112,4.9,0.8674698795180723
13067031113,12.7,0.3975903614457832
13067031114,8.5,0.6506024096385543
13067031115,8.4,0.6566265060240963
13067031116,9.7,0.5783132530120483
13067031117,5.7,0.8192771084337349
13067031118,6.5,0.7710843373493976
13067031119,12.3,0.4216867469879517
13067031120,8.0,0.6807228915662651
13067031121,8.4,0.6566265060240963
13067031122,6.7,0.7590361445783133
13067031207,5.6,0.8253012048192772
13067031209,3.8,0.9337349397590362
13067031212,2.7,1.0
13067031213,7.8,0.6927710843373495
13067031214,8.5,0.6506024096385543
13067031215,5.8,0.8132530120481928
13067031216,5.2,0.8493975903614458
13067031217,6.7,0.7590361445783133
13067031218,5.9,0.8072289156626506
13067031219,7.9,0.6867469879518072
13067031220,8.7,0.6385542168674699
13067031221,5.1,0.8554216867469879
13067031306,11.5,0.4698795180722891
13067031308,13.7,0.33734939759036153
13067031314,6.3,0.783132530120482
13067031315,5.1,0.8554216867469879
13067031316,9.1,0.6144578313253013
13067031317,11.1,0.493975903614458
13067031318,17.2,0.12650602409638567
13067031319,15.0,0.25903614457831325
13067031320,14.8,0.2710843373493975
13067031321,19.3,0.0
13067031322,10.4,0.536144578313253
13067031323,8.3,0.6626506024096386
13067031324,7.7,0.6987951807228916
13067031325,5.5,0.8313253012048193
13067031409,12.3,0.4216867469879517
13067031410,8.7,0.6385542168674699
13067031411,12.7,0.3975903614457832
13067031412,12.8,0.39156626506024095
13067031413,11.3,0.4819277108433735
13067031414,7.9,0.6867469879518072
13067031415,11.9,0.4457831325301206
13067031416,12.4,0.4156626506024097
13067031417,13.3,0.36144578313253006
13067031506,11.1,0.493975903614458
13067031507,11.4,0.47590361445783136
13067031510,12.2,0.4277108433734941
13067031511,8.7,0.6385542168674699
13067031512,10.2,0.5481927710843375
13067031513,8.9,0.6265060240963856
13067031514,8.9,0.6265060240963856
13067031515,6.7,0.7590361445783133
13067031516,7.3,0.7228915662650603
13067031517,7.1,0.7349397590361446
13067031518,10.9,0.5060240963855422
