GEOID,"Mean travel time to work (minutes), 2024","Mean travel time to work (minutes), 2024 (normalized)"
13067030104,31.8,0.46545454545454545
13067030107,30.2,0.5236363636363637
13067030108,28.4,0.5890909090909092
13067030109,36.6,0.2909090909090909
13067030110,31.0,0.4945454545454546
13067030111,29.2,0.56
13067030112,24.3,0.7381818181818183
13067030113,35.7,0.3236363636363636
13067030220,43.7,0.032727272727272716
13067030233,30.4,0.5163636363636365
13067030235,30.3,0.52
13067030236,36.8,0.2836363636363638
13067030240,36.1,0.3090909090909091
13067030241,30.8,0.5018181818181818
13067030242,29.5,0.5490909090909091
13067030243,38.0,0.2400000000000001
13067030244,31.1,0.49090909090909096
13067030245,36.8,0.2836363636363638
13067030246,22.8,0.7927272727272727
13067030247,30.8,0.5018181818181818
13067030248,17.1,1.0
13067030249,31.0,0.4945454545454546
13067030250,32.1,0.4545454545454546
13067030251,35.1,0.34545454545454546
13067030252,34.0,0.3854545454545455
13067030253,33.4,0.40727272727272734
13067030254,34.5,0.3672727272727273
13067030255,25.8,0.6836363636363636
13067030256,25.9,0.6800000000000002
13067030257,21.6,0.8363636363636364
13067030258,24.2,0.7418181818181819
13067030259,24.9,0.7163636363636365
13067030260,26.7,0.650909090909091
13067030261,29.3,0.5563636363636364
13067030262,32.7,0.4327272727272726
13067030263,30.4,0.5163636363636365
13067030264,29.6,0.5454545454545454
13067030265,32.4,0.4436363636363637
13067030266,35.2,0.3418181818181818
13067030267,31.4,0.4800000000000001
13067030268,34.2,0.3781818181818182
13067030269,33.3,0.4109090909090911
13067030270,39.7,0.1781818181818181
13067030271,32.9,0.42545454545454553
13067030272,26.7,0.650909090909091
13067030273,32.6,0.4363636363636364
13067030274,30.2,0.5236363636363637
13067030275,28.0,0.6036363636363637
13067030276,44.6,0.0
13067030277,36.5,0.29454545454545455
13067030278,23.0,0.7854545454545455
13067030319,28.1,0.6
13067030322,35.6,0.32727272727272727
13067030324,28.5,0.5854545454545454
13067030326,29.2,0.56
13067030327,35.9,0.3163636363636365
13067030329,29.6,0.5454545454545454
13067030331,28.9,0.570909090909091
13067030332,28.7,0.5781818181818182
13067030334,29.7,0.541818181818182
13067030335,29.6,0.5454545454545454
13067030337,28.0,0.6036363636363637
13067030340,34.0,0.3854545454545455
13067030341,29.4,0.5527272727272728
13067030342,29.3,0.5563636363636364
13067030343,32.0,0.45818181818181825
13067030344,24.6,0.7272727272727273
13067030345,32.7,0.4327272727272726
13067030346,25.8,0.6836363636363636
13067030347,29.2,0.56
13067030348,29.3,0.5563636363636364
13067030349,26.9,0.6436363636363638
13067030350,28.8,0.5745454545454546
13067030351,25.9,0.6800000000000002
13067030352,21.6,0.8363636363636364
13067030353,24.0,0.7490909090909091
13067030354,29.3,0.5563636363636364
13067030355,20.7,0.8690909090909091
13067030356,27.7,0.6145454545454546
13067030357,24.0,0.7490909090909091
13067030358,28.7,0.5781818181818182
13067030359,25.3,0.7018181818181819
13067030360,29.1,0.5636363636363637
13067030361,26.3,0.6654545454545455
13067030362,23.7,0.76
13067030363,27.3,0.6290909090909091
13067030364,31.8,0.46545454545454545
13067030365,21.4,0.8436363636363637
13067030366,36.9,0.28000000000000014
13067030367,33.9,0.38909090909090915
13067030368,36.8,0.2836363636363638
13067030369,32.7,0.4327272727272726
13067030370,30.4,0.5163636363636365
13067030405,28.4,0.5890909090909092
13067030407,24.3,0.7381818181818183
13067030408,22.8,0.7927272727272727
13067030409,29.4,0.5527272727272728
13067030410,33.4,0.40727272727272734
13067030411,28.6,0.5818181818181818
13067030412,26.1,0.6727272727272727
13067030413,25.5,0.6945454545454546
13067030414,24.1,0.7454545454545455
13067030505,26.3,0.6654545454545455
13067030506,28.6,0.5818181818181818
13067030507,27.1,0.6363636363636364
13067030508,27.9,0.6072727272727274
13067030509,32.2,0.4509090909090908
13067030510,27.4,0.6254545454545455
13067030511,32.3,0.4472727272727274
13067030602,22.7,0.7963636363636364
13067030603,30.2,0.5236363636363637
13067030604,31.2,0.4872727272727273
13067030700,26.9,0.6436363636363638
13067030800,22.4,0.8072727272727274
13067030906,28.9,0.570909090909091
13067030907,34.3,0.37454545454545474
13067030908,35.9,0.3163636363636365
13067030909,30.5,0.5127272727272727
13067030910,26.1,0.6727272727272727
13067030911,26.8,0.6472727272727272
13067030912,28.1,0.6
13067031001,27.0,0.6400000000000001
13067031004,27.6,0.6181818181818182
13067031005,28.6,0.5818181818181818
13067031006,21.1,0.8545454545454545
13067031007,28.7,0.5781818181818182
13067031101,32.4,0.4436363636363637
13067031110,24.1,0.7454545454545455
13067031111,30.2,0.5236363636363637
13067031112,25.5,0.6945454545454546
13067031113,28.5,0.5854545454545454
13067031114,28.0,0.6036363636363637
13067031115,29.9,0.5345454545454547
13067031116,28.8,0.5745454545454546
13067031117,28.4,0.5890909090909092
13067031118,28.9,0.570909090909091
13067031119,34.0,0.3854545454545455
13067031120,36.6,0.2909090909090909
13067031121,27.3,0.6290909090909091
13067031122,21.5,0.8400000000000001
13067031207,22.3,0.8109090909090909
13067031209,24.4,0.7345454545454546
13067031212,27.5,0.6218181818181818
13067031213,29.3,0.5563636363636364
13067031214,24.4,0.7345454545454546
13067031215,27.3,0.6290909090909091
13067031216,29.3,0.5563636363636364
13067031217,30.0,0.530909090909091
13067031218,23.1,0.7818181818181819
13067031219,24.0,0.7490909090909091
13067031220,27.9,0.6072727272727274
13067031221,40.6,0.1454545454545455
13067031306,30.2,0.5236363636363637
13067031308,36.6,0.2909090909090909
13067031314,32.0,0.45818181818181825
13067031315,31.8,0.46545454545454545
13067031316,26.0,0.6763636363636364
13067031317,26.6,0.6545454545454545
13067031318,32.0,0.45818181818181825
13067031319,32.8,0.4290909090909093
13067031320,27.3,0.6290909090909091
13067031321,27.5,0.6218181818181818
13067031322,30.7,0.5054545454545456
13067031323,38.8,0.21090909090909105
13067031324,30.8,0.5018181818181818
13067031325,31.9,0.4618181818181819
13067031409,28.3,0.5927272727272728
13067031410,37.0,0.27636363636363637
13067031411,29.3,0.5563636363636364
13067031412,28.5,0.5854545454545454
13067031413,31.9,0.4618181818181819
13067031414,31.2,0.4872727272727273
13067031415,29.0,0.5672727272727274
13067031416,33.0,0.42181818181818187
13067031417,28.5,0.5854545454545454
13067031506,29.7,0.541818181818182
13067031507,38.4,0.22545454545454557
13067031510,33.6,0.4
13067031511,33.8,0.3927272727272729
13067031512,33.9,0.38909090909090915
13067031513,29.2,0.56
13067031514,33.2,0.41454545454545444
13067031515,33.3,0.4109090909090911
13067031516,34.2,0.3781818181818182
13067031517,34.0,0.3854545454545455
13067031518,34.5,0.3672727272727273
